index	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24	sample-25	sample-26	sample-27	sample-28	sample-29	sample-30	sample-31	sample-32	sample-33	sample-34	sample-35	sample-36	sample-37	sample-38	sample-39	sample-40	sample-41	sample-42	sample-43	sample-44	sample-45	sample-46	sample-47	sample-48	sample-49	sample-50	sample-51	sample-52	sample-53	sample-54	sample-55	sample-56	sample-57	sample-58	sample-59	sample-60	sample-61	sample-62	sample-63	sample-64	sample-65	sample-66	sample-67	sample-68	sample-69	sample-70	sample-71	sample-72	sample-73	sample-74	sample-75	sample-76	sample-77	sample-78	sample-79	sample-80	sample-81	sample-82	sample-83	sample-84	sample-85	sample-86	sample-87	sample-88	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99	sample-100	sample-101	sample-102	sample-103	sample-104	sample-105	sample-106	sample-107	sample-108	sample-109	sample-110	sample-111	sample-112	sample-113	sample-114	sample-115	sample-116	sample-117	sample-118	sample-119	sample-120
Unclassified_19(o__Clostridiales)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1020	1248	1374	819	583	919	936	823	1218	918	1247	686	866	1255	1758	531	997	759	1777	1144	1212	387	127	309	1187	702	612	2	507	17	42	190	245	216	182	387	97	186	746	325	567	151	286	269	802	1153	380	814	1211	1002	661	704	385	445	1051	426	735	1166	328	1956	1326	1084	1824	720	1054	3183	524	2834	1913	1203	373	829	462	985	2594	724	744	2907	302	798	339	873	141	448	221	472	512	271	443	631
g__Caldicoprobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified_20(f__Christensenellaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	5	38	45	19	159	108	60	19	636	34	101	28	19	72	22	78	39	628	129	47	165	594	46	141	22	0	101	14	4	8	0	2	2	3	0	3	0	0	4	7	19	2	5	13	0	12	15	6	10	15	47	18	9	10	8	63	14	39	60	46	56	86	36	133	24	70	166	33	587	110	35	83	150	202	78	119	50	264	138	97	168	276	98	78	287	552	113	749
Unclassified_21(f__Clostridiaceae)	0	7	15	16	17	22	68	5	41	30	14	21	30	5	26	29	22	64	33	4	197	194	76	175	126	42	62	423	114	102	29	16	43	34	40	42	47	27	37	48	18	44	32	7	40	21	171	61	223	42	90	7	8	16	13	10	2	570	24	920	34	116	109	185	101	73	61	125	39	432	48	61	22	75	131	63	102	69	129	68	110	96	37	157	100	115	71	61	49	149	17	6	41	5	25	7	13	19	18	24	21	32	65	22	85	19	33	81	12	10	15	27	12	13	4	30	29	10	33	11
Unclassified_22(f__Clostridiaceae)	716	7903	3357	2979	2655	20604	16794	17804	27522	22075	18566	2643	28100	3244	2542	3658	1884	22027	5496	2925	25292	22021	27155	21887	25638	21611	20785	16524	4077	20102	264	595	960	513	689	518	790	580	561	574	1098	346	369	198	478	445	780	473	1572	501	644	328	692	528	2448	719	159	8078	1222	2547	1039	4953	3643	3743	2145	2214	4616	2392	1497	2946	1031	1107	336	1132	1484	2869	1044	736	2018	2097	1725	4573	902	4380	2189	3012	1058	3625	1067	1821	500	532	944	267	434	423	243	514	335	1650	1508	581	574	383	1116	589	512	437	265	504	179	632	824	528	278	654	977	234	523	369
g__Alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	368	27	47	13	14	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	16	27	0	43	15	2	12	17	363	19	13	77	69	46	20	6	25	9	20	34	91	51	15	145	169	51	30	245
g__Clostridium	18	29	41	29	94	97	149	13	60	71	51	43	52	29	134	85	92	130	52	36	200	330	119	229	98	102	151	466	889	337	36	56	108	82	85	60	73	72	108	62	112	86	70	31	55	98	106	75	301	46	100	507	598	599	547	1690	349	525	1584	724	59	228	163	324	193	102	189	243	111	669	85	94	47	121	81	247	103	52	141	132	167	144	78	262	141	170	96	160	155	197	219	131	175	88	260	141	73	133	223	180	505	955	561	267	471	248	621	1793	182	237	303	270	307	327	268	172	219	105	342	280
g__SMB53	82	457	251	321	262	521	705	254	310	657	364	142	443	1301	1195	3815	2526	2328	3301	532	1480	3074	1519	2065	1889	3380	909	2082	845	1454	154	354	634	246	181	312	269	109	304	209	541	229	72	106	195	143	144	264	489	150	328	231	313	344	272	389	117	4249	1463	3621	284	620	363	683	309	442	441	336	166	324	160	227	101	160	245	582	255	257	391	525	298	810	228	331	476	515	282	489	629	488	486	1145	1051	487	698	984	664	513	571	2088	1606	742	1425	667	791	472	572	542	399	415	239	822	605	716	165	689	608	192	314	396
g__Dehalobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	3	3	0	0	0	0	0	0	0	2	0	0	2	0	2	3
g__Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	2	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	7	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudoramibacter_Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	5	19	15	5	7	4	2	10	4	21	5	4	3	60	25	9	13	11	6	0	3	4	0	0	0	4	11	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	21	4	16	17	7	8	39	7	5	33	10	12	20	2	7	0	27	5	2	5	0	11	2	0	8	4	3	2	9	2	0	0	7	0	0	2	13	2	4	0	13	3	0	2	0
Unclassified_23(f__Lachnospiraceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	7	150	209	304	42	101	136	214	239	34	56	416	42	55	123	170	76	159	94	319	15	86	153	13	46	13	0	48	31	9	55	130	42	60	31	21	65	43	123	20	59	70	80	67	119	55	118	158	93	59	94	238	295	45	82	35	206	56	152	6	11	27	12	26	41	28	9	29	12	15	14	38	9	75	18	33	0	25	15	39	23	15	38	12	24	65	23	14	108
Unclassified_24(f__Lachnospiraceae)	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	2	0	0	21	2	0	0	3	0	0	0	0	0	0	300	665	1081	1483	1030	710	1552	682	1358	821	1318	1361	1308	588	1405	771	3583	625	3137	1096	2913	272	243	1153	378	247	77	23	207	366	278	1693	1673	2088	671	591	210	283	695	464	187	856	639	472	354	1308	513	535	1331	667	684	597	510	1090	481	563	276	948	1169	986	125	195	313	286	262	472	713	268	218	174	130	226	398	164	152	196	480	38	270	134	122	147	156	273	155	218	341	238	262	791
g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	101	16	41	3	6	19	2	2	4	4	5	2	16	0	5	5	0	24	2	4	0	0	3	0	0	0	0	2	0	9	279	96	269	0	13	0	0	7	6	11	4	0	34	8	0	2	4	36	6	0	10	9	4	9	3	4	4	7	5	10	50	8	0	11	21	5	4	3	6	0	3	0	13	3	0	4	5	0	3	0	0	0	0	0	14	2	2	8	0
g__Blautia	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	294	88	147	96	113	98	140	113	177	219	171	151	103	233	94	58	78	88	151	171	145	51	7	66	167	44	156	4	16	99	44	24	65	26	31	17	22	35	42	111	13	10	31	57	186	187	87	611	176	894	138	261	89	144	728	148	192	120	43	564	48	22	16	15	25	66	41	29	36	21	19	34	44	23	14	6	29	4	52	24	11	8	12	29	28	11	14	6	20	98
g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	14	3	2	5	10	2	0	2	13	0	3	8	3	1	2	5	0	8	3	0	0	0	8	0	0	0	0	0	9	7	52	4	4	16	3	3	5	0	0	3	2	3	3	5	0	5	4	51	0	2	0	2	6	3	3	5	0	0	0	0	5	0	1	3	5	6	2	0	0	0	0	2	0	0	2	2	0	3	0	0	2	3	0	0	0	0	3	2
g__Coprococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	259	100	169	298	206	67	136	111	237	289	97	126	253	101	194	119	370	225	150	179	614	53	473	401	87	71	46	29	706	81	191	248	97	304	276	51	40	74	85	262	43	115	137	157	133	109	82	220	148	178	112	153	267	106	237	146	109	164	67	216	23	19	56	51	71	176	19	15	114	28	74	44	18	51	66	72	62	16	32	29	60	48	96	84	65	65	307	109	127	971
g__Defluviitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	14	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	109	75	79	88	84	59	122	81	117	204	103	85	353	101	56	82	198	93	122	160	129	13	30	132	39	27	34	5	46	67	24	45	61	36	21	42	24	32	79	125	40	50	51	62	315	429	228	522	315	459	147	219	247	264	484	354	353	249	93	423	41	17	22	24	40	46	30	51	41	18	16	22	134	19	19	40	51	89	27	26	29	17	9	14	32	7	13	24	31	69
g__Epulopiscium	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	1	23	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	13	21	189	45	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
g__Lachnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	29	0	0	0	2	0	0	5	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	3	3	14	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
g__Lachnospira	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	182	165	124	173	51	293	174	280	241	184	85	195	112	124	102	431	65	579	480	347	12	12	14	30	37	31	0	10	6	36	218	177	90	156	49	51	76	188	74	195	63	75	503	275	117	159	344	622	377	176	89	122	211	393	154	195	79	123	196	21	47	26	16	51	106	16	66	30	32	25	31	20	39	22	11	50	41	16	38	26	12	14	53	17	16	17	12	23	62
g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	11	0	4	4	8	6	6	8	5	4	4	5	49	4	4	7	5	6	21	4	0	0	0	3	0	0	0	2	2	26	10	0	0	3	8	4	0	4	0	4	0	5	16	3	2	0	6	0	10	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	2	2	0	3	0	3	0	0	0	0	2	4
g__Robinsoniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
g__Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	199	202	240	323	427	499	350	632	222	650	142	175	295	340	128	609	347	367	1131	246	28	6	34	25	24	14	4	8	37	217	948	242	413	501	833	378	376	504	255	391	454	237	4855	894	195	454	190	457	359	110	209	142	262	175	329	1097	182	233	277	27	16	15	11	36	188	29	43	64	36	41	41	60	20	34	19	20	49	25	36	31	16	15	45	9	17	15	8	3	108
g__Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
g__Shuttleworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	25	71	21	7	22	13	7	18	11	16	23	10	20	6	40	4	62	11	11	6	0	0	0	0	0	4	0	3	61	38	107	23	16	8	4	5	5	9	3	47	24	21	20	23	30	49	47	31	14	33	19	23	26	27	20	24	3	39	0	0	5	0	0	3	0	0	2	0	0	0	24	0	7	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0
g__[Ruminococcus]	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	92	36	40	41	44	49	92	25	27	45	49	63	40	65	28	87	101	150	60	39	117	30	19	80	51	15	46	4	17	13	4	7	3	5	21	14	4	53	22	107	15	5	11	22	70	90	44	349	71	101	45	54	25	91	70	57	172	121	30	587	76	15	10	20	63	87	46	20	63	37	21	34	5	44	26	63	55	54	45	12	25	37	5	21	41	9	22	22	33	47
g__Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	12	2	14	0	0	6	5	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
g__rc4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Unclassified_25(f__Peptostreptococcaceae)	0	94	33	33	0	142	16	0	6	0	67	4	9	0	68	0	0	148	0	0	0	0	46	0	0	0	37	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
Unclassified_50(f__Peptostreptococcaceae)	6	0	0	3	0	2	3	0	2	12	0	0	0	0	6	7	7	7	22	0	7	73	7	19	7	9	8	27	8	11	10	17	41	24	44	44	50	22	43	99	119	32	17	24	37	30	38	89	91	45	71	23	9	12	40	21	27	50	55	211	19	28	30	20	40	38	41	67	41	99	26	47	24	44	78	94	76	617	69	187	74	156	52	60	121	116	110	46	36	339	39	84	56	14	47	60	37	53	29	88	75	42	113	91	76	47	68	123	62	32	14	58	48	56	29	145	43	11	35	30
g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	37	104	17	39	16	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	6	15	8	9	6	2	25	10	67	218	75	51	38	106	23	2	41	20	59	33	7	48	12	15	14	23	8	21
g__Peptostreptococcus	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified_26(f__Ruminococcaceae)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	393	356	301	199	269	183	258	239	300	292	447	284	456	325	223	552	236	422	222	491	619	236	539	284	3647	338	497	2	742	113	27	79	64	24	50	127	71	71	80	69	201	102	107	80	110	287	87	701	237	204	128	185	470	144	273	148	83	231	153	334	232	271	352	362	556	651	193	480	421	485	247	355	139	356	512	1650	276	105	175	247	191	410	158	257	180	259	809	454	630	1560
Unclassified_27(f__Ruminococcaceae)	0	0	2	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	2214	3316	3027	2063	1642	1309	2053	2620	1743	2385	2272	1653	3852	1538	1634	2358	1841	2003	1518	2956	3821	479	816	846	475	909	243	6	1053	109	1969	1335	2903	1966	1053	1999	966	1355	1473	2923	701	1871	2126	921	2746	5653	2120	2283	3129	4536	2805	6356	9511	2817	4406	4482	3959	5594	2343	4456	631	319	479	386	659	883	403	446	441	451	449	488	392	492	775	787	646	765	421	385	259	780	464	536	361	496	1238	742	1234	2372
g__Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	4	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	40	118	48	31	12	46	10	45	22	10	16	28	40	20	8	25	7	14	17	5	0	2	0	4	3	5	0	2	0	27	10	14	14	4	8	0	9	14	12	3	18	27	20	8	2	14	2	14	24	9	13	11	6	14	12	21	11	12	17	21	7	41	6	11	29	13	23	20	10	0	4	31	2	12	2	5	6	4	3	0	0	2	16	2	0	10	0	12	19
g__Faecalibacterium	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	66	165	93	153	93	95	68	67	380	68	77	94	151	71	116	106	59	100	85	70	19	10	12	27	17	24	2	28	14	208	133	102	89	182	161	97	146	82	146	48	111	64	233	194	186	116	487	324	151	58	149	84	64	113	80	164	88	82	177	81	31	49	25	67	73	32	96	57	97	9	30	106	18	26	32	24	51	21	21	11	34	17	38	21	20	27	19	22	30
g__Gemmiger	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	294	222	124	351	133	204	218	141	179	490	220	274	184	80	62	284	211	174	361	274	78	45	53	777	70	949	9	69	19	155	165	49	28	158	121	179	132	108	107	201	44	129	125	337	242	809	860	283	1328	231	347	244	271	902	365	470	171	216	377	149	150	107	120	188	331	59	216	151	239	80	91	165	81	54	107	62	10	39	64	31	44	70	39	31	34	30	21	43	141
g__Oscillospira	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	257	367	287	801	1621	563	1132	1169	658	744	1020	672	567	915	428	3278	801	1409	513	2597	1256	460	743	385	338	369	117	5	3379	54	195	422	204	230	622	367	67	121	154	150	124	410	160	223	58	400	98	85	250	139	67	159	462	116	104	95	97	327	351	272	183	185	310	253	392	568	159	287	266	302	470	635	310	447	514	1207	494	1656	317	444	242	1373	249	526	225	412	958	550	963	1969
g__Ruminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	905	946	544	539	599	504	674	548	827	836	471	939	396	361	437	1160	742	1114	560	1506	91	113	89	755	352	68	8	130	55	96	409	1449	260	707	293	126	457	162	1067	252	156	372	198	485	700	407	508	1074	430	811	730	660	637	845	971	396	991	322	659	320	461	1902	208	677	1046	203	2836	516	1194	66	150	1014	135	327	105	305	299	82	316	100	362	74	142	66	114	365	45	342	332
Unclassified_28(f__Veillonellaceae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	2	2	0	3	0	0	2	2	0	3	0	0	0	0	2	11	0	3	16	0	0	0	0	0	0	0	0	0	0	142	19	17	9	10	48	10	103	49	19	42	10	49	28	0	0	0	0	0	0	0	4	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	4	0	0	0	6	3	4	0	4	2	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	2	0	2	0	2	6	2	0	0	26	2	6	0	0	2	0	18	3	11	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g__Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	53	2	4	2	0	0	0	5	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	2	2	0	13	3	0	8	0	4	0	0	12	7	38	2	245	7	0	0	0	0	0	0	0	0	0	2	6	0	0	21	12	16	714	28	19	1227	18	10	16	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2
g__Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	20	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	7	70	44	25	38	44	20	59	23	27	20	30	21	119	130	23	73	45	27	5	0	6	2	8	0	0	0	4	57	112	50	53	54	206	94	22	96	68	19	71	20	78	51	221	86	399	265	24	8	47	79	10	38	132	4	14	25	37	0	0	2	2	3	5	3	0	3	3	6	11	2	5	8	15	4	0	5	0	2	2	2	11	0	2	17	11	5	24
g__Selenomonas	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
g__Veillonella	0	0	29	0	0	0	3	2	0	0	0	44	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
