index	unclassified	p__Actinobacteria	p__Bacteroidetes	p__Chlamydiae	p__Cyanobacteria	p__Deferribacteres	p__Fibrobacteres	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Spirochaetes	p__TM7	p__Tenericutes	p__Verrucomicrobia
Sample88	0	196	1506	0	6	0	0	16816	0	1245	61	24	167	0
Sample89	0	69	1247	0	4	0	5	8809	0	2891	431	6	209	0
Sample90	0	587	786	51	8	0	2	16719	0	1365	126	15	378	0
Sample91	0	100	345	0	2	0	0	12160	0	544	40	0	581	0
Sample92	0	142	1076	2	3	0	2	15718	0	97	114	6	451	0
Sample93	0	119	1036	0	0	0	2	18446	0	88	231	0	307	0
Sample94	0	96	991	0	0	0	3	12174	0	76	76	2	232	0
Sample95	7	147	1896	0	3	0	3	16715	0	212	204	4	309	0
Sample96	0	302	2247	0	0	0	0	18975	0	256	382	12	1104	0
Sample97	3	85	874	0	7	0	0	12819	0	136	70	15	215	0
Sample98	0	186	1005	0	0	0	2	17039	0	1012	158	11	1134	0
Sample99	0	108	870	0	0	0	19	21342	0	961	93	10	384	0
Sample100	3	196	1372	0	6	0	2	16185	0	420	23	0	248	0
Sample101	0	132	440	0	7	0	0	17168	18	2119	142	6	122	0
Sample102	0	295	962	0	0	0	0	14493	0	5395	95	2	386	0
Sample103	9	243	1127	0	3	0	0	12522	0	6747	66	0	272	0
Sample104	2	168	1283	0	0	2	11	16824	0	3037	172	0	493	0
Sample105	2	161	637	0	0	0	4	20156	0	1164	106	0	573	0
Sample106	0	220	1842	0	0	10	16	13238	0	942	1210	0	270	0
Sample107	2	98	1015	3	0	0	0	19427	0	1365	309	0	323	0
Sample108	0	231	1105	0	11	0	0	17584	0	1589	35	0	578	0
Sample109	2	84	538	0	0	0	6	12664	0	7665	89	0	91	0
Sample110	0	145	470	0	2	0	0	11283	0	8014	29	2	193	3
Sample111	0	75	250	0	0	0	2	7963	0	16479	71	0	29	0
Sample112	4	106	1361	0	0	2	6	13472	0	2726	31	0	170	0
Sample113	0	75	328	0	10	0	2	14988	0	3765	48	0	23	0
Sample114	2	121	898	0	7	0	0	10760	0	9722	105	0	227	0
Sample115	0	70	210	0	0	0	0	4579	0	10851	33	0	51	0
Sample116	4	109	2412	0	0	0	0	14653	0	792	148	2	187	0
Sample117	5	182	1665	0	0	0	6	13917	0	1546	667	2	109	0
Sample118	0	242	1413	2	0	0	12	8891	0	592	303	0	47	0
Sample119	3	78	1653	0	0	0	0	15186	0	1032	965	2	142	0
Sample120	5	138	2713	0	3	0	11	16276	0	2058	1257	5	250	0
